id,claim,source_file,source_line_or_section,verified,notes
EV-019,"ADR-11's 11 required-behaviours items each presuppose a shadow root, Lit class, or registered custom element — none apply to a component with none of those",docs/architecture/decisions/2026-09-02-11-verification-stack-and-wrapper-generation.md,"lines 44-70 (two-layer table and 11-item required-behaviours list)",yes,"Confirms plan.md's Charter Check section and FR-014's 'confirmed, not assumed' claim that ADR-11's required-behaviours list is inapplicable here."
EV-020,"docs/contributing/adding-a-component.md states visual baselines are CI-authoritative and must be taken from the visual-regression-diffs artifact, never a local run",docs/contributing/adding-a-component.md,"section 8 ('Visual baseline'), lines 391-395",yes,"Confirms C-009/plan.md Gate Enumeration's citation. Also the same rule reviews/plan-fresh-2.yaml's PLAN-FRESH2-001 finding says IC-04's new sequencing text reads as contradicting."
EV-021,"grep -rn segmented across apps/demo/*.html and scripts/assemble-demo-dist.sh returns zero hits",apps/demo/*.html; scripts/assemble-demo-dist.sh,"whole files",yes,"Confirms C-008/FR-016's no-op claim. Command run 2026-09-08, exit code 1 (no match)."
EV-022,"docs/architecture/elements-first-programme.md states pre-merge is not tiered: every PR gets the full four-lens gate with evidence posted before merge",docs/architecture/elements-first-programme.md,line 31,yes,"Confirms C-009's citation of this document for what 'Tier C, pre-merge' means operationally."
EV-023,"docs/architecture/elements-first-programme.md's tier table maps Tiers A/B/C to internal mission slugs M2-M16, and does not mention issue #270 or 'segmented' anywhere in the file",docs/architecture/elements-first-programme.md,"lines 35-37 (tier table); whole-file grep for '270' and 'segmented'",yes,"Confirms C-009's claim that this document 'does not enumerate this mission at all' and is cited only as a record of what the tier terms mean, not as a second classifying source."
EV-024,"Issue #270's Application-ownership paragraph matches spec.md's blockquote verbatim, and its Non-goals list matches spec.md's restated list item-for-item",GitHub issue #270 (spec-kitty/spec-kitty-design),"issue body, 'Application ownership' and 'Non-goals' sections",yes,"Retrieved via gh issue view 270 --repo spec-kitty/spec-kitty-design, 2026-09-08. Verbatim match confirmed by direct comparison."
EV-025,"Issue #270's Evidence section states the 1024px wrapping figure directly, and the issue header states 'Squad tier: C — pre-merge' verbatim",GitHub issue #270 (spec-kitty/spec-kitty-design),"issue body, 'Evidence' section and header line",yes,"Confirms C-005 and C-009's binding citations to the issue text."
EV-026,"Issue #270's own wording is '44px target requirement', not literally '44x44px' — spec.md's NFR-002/FR-006 interpretation as a 44x44px minimum target size is a standard, not invented, reading",GitHub issue #270 (spec-kitty/spec-kitty-design),issue body,yes,"Not a contradiction; flagged as a minor interpretive note only. Matches the common WCAG 2.5.5/2.5.8 44x44 CSS pixel framing."
EV-027,"Epic #269's dependency plan confirms Wave 1 (#270-#273, independent/parallel), Wave 2 (#274, after #254), Wave 3 (#275, after #270-#274 and #254), matching C-008/FR-016's claim that composition is epic #269's later #275/TKX6 mission",GitHub issue #269 (spec-kitty/spec-kitty-design),"issue body, 'Dependency plan' section",yes,"Retrieved via gh issue view 269 --repo spec-kitty/spec-kitty-design, 2026-09-08."
EV-028,"meta.json confirms this mission's topology is lanes and target_branch is train/elements-first",kitty-specs/work-explorer-segmented-choice-styles-01M20C9F/meta.json,whole file,yes,"Confirms C-007's binding delivery-contract claim (one WP, one PR, targeting train/elements-first, lanes topology)."
EV-029,"packages/tokens/src/tokens.css declares both --sk-surface-pill (lines 42, 391) and --sk-bg-pill (lines 181, 513) with identical values in each theme (#212830 dark, #ECE7D8 light); --sk-surface-pill is used in 6 shipping component CSS files (sk-bar-chart, sk-context-nav, sk-transition-matrix, sk-action-row, sk-time-series-chart, sk-workflow-lane) versus --sk-bg-pill in 2 (sk-nav-pill, sk-pill-tag)",packages/tokens/src/tokens.css,"lines 42, 181, 391, 513 (both tokens, both themes)",yes,"Corrects research.md Q3's prior false claim that --sk-surface-pill 'was not found' in tokens.css; both tokens are live and same-valued. --sk-bg-pill remains the correct choice for this component per the sk-nav-pill.css active-item precedent (EV-001), on a semantic-pairing basis, not because --sk-surface-pill is absent."
EV-030,"C-006's unqualified claim that 'all commits in this mission' use the styles conventional-commit scope is contradicted by this mission's own design-phase bookkeeping commits, which use docs(kitty-specs)/fix(kitty-specs) — a scope absent from commitlint.config.cjs's scope-enum and not covered by its exemption patterns",commitlint.config.cjs; git log,"commitlint.config.cjs lines 82-95 (scope-enum), lines 6-78 (exemption patterns); git log commits 9892785, d6ac1f5, 614e2d0, d9a231d, d78c0d3, b91cc43, 1cc92d0",yes,"C-006's own rationale ('matching the package actually changed') clearly targets later WP-implementation commits, not this mission's own design-phase commits; flagged as a discrepancy in research.md's Discrepancies section, not corrected in spec.md (out of scope for this backfill)."
EV-031,"Neither sk-nav-pill.css nor sk-form-select.css contains a forced-colors block, confirming C-004's claim that both files are cited only for base-state --sk-bg-pill token reuse, not for the forced-colors technique",packages/styles/src/nav-pill/sk-nav-pill.css; packages/styles/src/form-select/sk-form-select.css,"whole files (grep for 'forced-colors', zero matches in either)",yes,"Confirms the negative half of C-004's claim; the forced-colors technique is instead sourced from sk-skip-link.css and sk-data-table.css (EV-002, EV-003)."
EV-032,"stylelint.config.mjs's ignoreValues array has seven system-color keywords while spec.md's C-010 names only six in its own parenthetical, omitting GrayText; GrayText is already used in sk-context-nav.css's forced-colors block for the disabled/unavailable-item cue",stylelint.config.mjs; kitty-specs/work-explorer-segmented-choice-styles-01M20C9F/spec.md; packages/styles/src/context-nav/sk-context-nav.css,"stylelint.config.mjs lines 52-58 (ignoreValues, 7 entries); spec.md C-010 row, Constraints table (6 named keywords, no GrayText); sk-context-nav.css lines 195-199 (.sk-context-nav__unavailable forced-colors block using color: GrayText and border-inline-start-color: GrayText)",yes,"Corrects research.md Q4's prior false claim that stylelint's ignoreValues 'exactly' matches C-010/NFR-004's keyword set. GrayText is present in stylelint's allowlist (so no config change is needed to use it) but absent from C-010's enumeration — a repo precedent (sk-context-nav.css) exists for using it as a disabled-state forced-colors cue, directly relevant to this mission's FR-004/NFR-004 disabled-item requirement. See SPEC-RESEARCH-FRESH-001."
EV-033,"sk-form-select.css contains zero references to --sk-bg-pill or --sk-surface-pill anywhere in the file, contradicting spec.md's C-004 citation of it as a base-state --sk-bg-pill precedent alongside sk-nav-pill.css",packages/styles/src/form-select/sk-form-select.css,"whole file (grep for 'sk-bg-pill' and 'sk-surface-pill', zero matches, exit code 1)",yes,"Only sk-nav-pill.css demonstrates the --sk-bg-pill active-fill pattern (EV-001); sk-form-select.css's actual base-state tokens are --sk-surface-input, --sk-border-default, --sk-border-focus, --sk-border-width-1/2, --sk-radius-sm, and --sk-color-red. Flagged as a discrepancy in research.md's Discrepancies section (item 3), not corrected in spec.md (out of scope for this backfill). See SPEC-RESEARCH-FRESH-002."
